gene_id	gene_name	coding
ENSMUSG00000000001	GNAI3	TRUE
ENSMUSG00000000003	PBSN	TRUE
ENSMUSG00000000028	CDC45	TRUE
ENSMUSG00000000037	SCML2	TRUE
ENSMUSG00000000049	APOH	TRUE
ENSMUSG00000000056	NARF	TRUE
ENSMUSG00000000058	CAV2	TRUE
ENSMUSG00000000078	KLF6	TRUE
ENSMUSG00000000085	SCMH1	TRUE
ENSMUSG00000000088	COX5A	TRUE
ENSMUSG00000000093	TBX2	TRUE
ENSMUSG00000000094	TBX4	TRUE
ENSMUSG00000000103	ZFY2	TRUE
ENSMUSG00000000120	NGFR	TRUE
ENSMUSG00000000125	WNT3	TRUE
ENSMUSG00000000126	WNT9A	TRUE
ENSMUSG00000000127	FER	TRUE
ENSMUSG00000000131	XPO6	TRUE
ENSMUSG00000000134	TCFE3	TRUE
ENSMUSG00000000142	AXIN2	TRUE
ENSMUSG00000000148	BAAT1	TRUE
ENSMUSG00000000149	GNA12	TRUE
ENSMUSG00000000154	SLC22A18	TRUE
ENSMUSG00000000157	ITGB2L	TRUE
ENSMUSG00000000159	IGSF5	TRUE
ENSMUSG00000000167	PIH1D2	TRUE
ENSMUSG00000000168	DLAT	TRUE
ENSMUSG00000000171	SDHD	TRUE
ENSMUSG00000000182	FGF23	TRUE
ENSMUSG00000000183	FGF6	TRUE
ENSMUSG00000000184	CCND2	TRUE
ENSMUSG00000000194	GPR107	TRUE
ENSMUSG00000000197	NALCN	TRUE
ENSMUSG00000000202	BTBD17	TRUE
ENSMUSG00000000204	SLFN4	TRUE
ENSMUSG00000000214	TH	TRUE
ENSMUSG00000000215	INS2	TRUE
ENSMUSG00000000216	SCNN1G	TRUE
ENSMUSG00000000223	DRP2	TRUE
ENSMUSG00000000244	TSPAN32	TRUE
ENSMUSG00000000247	LHX2	TRUE
ENSMUSG00000000248	CLEC2G	TRUE
ENSMUSG00000000253	GMPR	TRUE
ENSMUSG00000000263	GLRA1	TRUE
ENSMUSG00000000266	MID2	TRUE
ENSMUSG00000000275	TRIM25	TRUE
ENSMUSG00000000276	DGKE	TRUE
ENSMUSG00000000278	SCPEP1	TRUE
ENSMUSG00000000282	MNT	TRUE
ENSMUSG00000000290	ITGB2	TRUE
ENSMUSG00000000295	HDDC2	TRUE
ENSMUSG00000000296	TPD52L1	TRUE
ENSMUSG00000000301	PEMT	TRUE
ENSMUSG00000000303	CDH1	TRUE
