gene_id	gene_name
ENSMUSG00000000001	GNAI3
ENSMUSG00000000003	PBSN
ENSMUSG00000000028	CDC45
ENSMUSG00000000031	H19
ENSMUSG00000000037	SCML2
ENSMUSG00000000049	APOH
ENSMUSG00000000056	NARF
ENSMUSG00000000058	CAV2
ENSMUSG00000000078	KLF6
ENSMUSG00000000085	SCMH1
ENSMUSG00000000088	COX5A
ENSMUSG00000000093	TBX2
ENSMUSG00000000094	TBX4
ENSMUSG00000000103	ZFY2
ENSMUSG00000000120	NGFR
ENSMUSG00000000125	WNT3
ENSMUSG00000000126	WNT9A
ENSMUSG00000000127	FER
ENSMUSG00000000131	XPO6
ENSMUSG00000000134	TCFE3
ENSMUSG00000000142	AXIN2
ENSMUSG00000000148	BAAT1
ENSMUSG00000000149	GNA12
ENSMUSG00000000154	SLC22A18
ENSMUSG00000000157	ITGB2L
ENSMUSG00000000159	IGSF5
ENSMUSG00000000167	PIH1D2
ENSMUSG00000000168	DLAT
ENSMUSG00000000171	SDHD
ENSMUSG00000000182	FGF23
ENSMUSG00000000183	FGF6
ENSMUSG00000000184	CCND2
ENSMUSG00000000194	GPR107
ENSMUSG00000000197	NALCN
ENSMUSG00000000202	BTBD17
ENSMUSG00000000204	SLFN4
ENSMUSG00000000214	TH
ENSMUSG00000000215	INS2
ENSMUSG00000000216	SCNN1G
ENSMUSG00000000223	DRP2
ENSMUSG00000000244	TSPAN32
ENSMUSG00000000247	LHX2
ENSMUSG00000000248	CLEC2G
ENSMUSG00000000253	GMPR
ENSMUSG00000000263	GLRA1
ENSMUSG00000000266	MID2
ENSMUSG00000000275	TRIM25
ENSMUSG00000000276	DGKE
ENSMUSG00000000278	SCPEP1
ENSMUSG00000000282	MNT
ENSMUSG00000000290	ITGB2
ENSMUSG00000000295	HDDC2
ENSMUSG00000000296	TPD52L1
ENSMUSG00000000301	PEMT
ENSMUSG00000000303	CDH1
ENSMUSG00000000305	CDH4
ENSMUSG00000000308	CKMT1
ENSMUSG00000000317	BCL6B
ENSMUSG00000000318	CLEC10A
ENSMUSG00000000320	ALOX12
ENSMUSG00000000325	ARVCF
ENSMUSG00000000326	COMT
ENSMUSG00000000339	RTCD1
ENSMUSG00000000340	DBT
ENSMUSG00000000346	DAZAP2
ENSMUSG00000000355	MCTS1
ENSMUSG00000000359	REM1
ENSMUSG00000000365	RNF17
ENSMUSG00000000374	TRAPPC10
ENSMUSG00000000378	CCM2
ENSMUSG00000000381	WAP
ENSMUSG00000000384	TBRG4
ENSMUSG00000000385	TMPRSS2
ENSMUSG00000000386	MX1
ENSMUSG00000000392	FAP
ENSMUSG00000000394	GCG
ENSMUSG00000000399	NDUFA9
ENSMUSG00000000402	EGFL6
